Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Distance,Total Descent,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,6/1/2022 09:28,FALSE,Carrera,0,0,00:02.6,154,156,0,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,00:00,0,00:00,No,00:02.6,1,0,0,--,00:00:00,00:06.6,56,56
Treadmill Running,5/29/2022 09:44,FALSE,Entrenamiento en cinta,0,0,00:00.8,146,146,0,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,00:00,0,00:00,No,00:00.8,1,0,0,--,00:00:00,00:00.8,--,--
Treadmill Running,5/12/2022 10:21,FALSE,Entrenamiento en cinta,0,0,00:02.6,143,144,0,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,00:00,0,00:00,No,00:02.6,1,0,0,--,00:00:00,00:14.5,--,--
Walking,4/27/2022 08:26,FALSE,Caminar,0,0,00:00.2,81,81,0,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,00:00,0,00:00,No,00:00.2,1,0,0,--,00:00:00,00:00.2,--,--
Walking,4/25/2022 18:21,FALSE,Caminar,0,0,00:01.6,93,93,0,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,00:00,0,00:00,No,00:01.6,1,0,0,--,00:00:00,00:01.6,448,448
Running,6/1/2022 09:28,FALSE,Carrera,0,1,00:06.4,148,148,0,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,00:00,0,00:00,No,00:06.4,1,0,0,--,00:00:00,00:06.4,56,56
Walking,4/8/2022 13:45,FALSE,Caminar,0.04,3,01:02.8,91,96,0,74,118,24:44:00,14:46,--,--,0.54,0,0,0,0,0,0,0,0,0,0,0,--,00:00,0,00:00,No,01:02.9,1,0,0.04,--,00:00:27,01:02.8,--,--
Walking,4/25/2022 17:47,FALSE,Olot Caminar,0.03,21,05:31.8,98,109,0.3,2,145,--,--,--,2,2.22,0,0,0,0,0,0,0,0,0,0,0,--,00:00,0,00:00,No,05:31.8,1,0,0.03,2,00:00:00,08:13.4,446,448
Running,1/26/2023 13:29,FALSE,Hoi An Carrera,0.37,34,06:43.3,104,141,0.5,58,192,18:14,05:52,--,--,0.95,0,0,0,0,0,0,0,0,0,0,0,--,00:00,0,00:00,No,06:43.3,1,0,0.37,--,00:02:32,00:36:50,7,10
Pilates,11/10/2023 15:54,FALSE,Pilates,0,42,00:20:05,78,97,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,20:04.8,1,0,0,--,00:20:05,01:21:11,--,--
Running,2/21/2023 06:55,FALSE,Carrera,1.11,61,08:09.9,122,133,2,187,196,07:21,06:19,4,5,0.73,0,0,0,0,0,0,0,0,0,0,0,--,00:00,0,00:00,No,08:09.9,1,0,1.11,5,00:08:03,08:09.9,20,27
Pilates,11/7/2023 13:54,FALSE,Pilates,0,67,00:21:35,88,116,0.3,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,21:35.0,1,0,0,--,00:21:35,00:21:35,--,--
Pilates,9/25/2023 09:02,FALSE,Pilates,0,71,00:48:52,69,92,0,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,48:52.2,1,0,0,--,00:48:52,00:48:52,--,--
Pilates,9/9/2023 10:21,FALSE,Pilates,0,71,00:35:42,76,101,0.1,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,35:41.9,1,0,0,--,00:35:42,00:35:42,--,--
Pilates,10/1/2023 09:33,FALSE,Pilates,0,77,00:35:14,79,97,0.1,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,35:14.4,1,0,0,--,00:35:14,00:35:14,--,--
Pilates,10/16/2023 09:17,FALSE,Pilates,0,79,00:32:45,81,107,0.1,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,32:45.1,1,0,0,--,00:32:45,00:32:45,--,--
Pilates,7/3/2023 09:12,FALSE,Pilates,0,83,00:51:24,71,89,0.1,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,51:24.2,1,0,0,--,00:51:24,00:51:24,--,--
Pilates,6/24/2023 11:17,FALSE,Pilates,0,86,00:43:16,76,97,0.1,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,43:16.4,1,0,0,--,00:43:16,00:43:16,--,--
Running,8/6/2022 13:18,FALSE,Vila Nova de Gaia Carrera,1.62,91,00:11:39,150,176,2.6,170,235,07:13,05:56,11,8,0.82,0,0,0,0,0,0,0,0,0,0,0,--,00:00,0,00:00,No,00:03.1,2,0,1.62,8,00:11:27,00:11:39,--,13
Pilates,7/1/2023 10:40,FALSE,Pilates,0,94,00:44:31,78,108,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,44:31.3,1,0,0,--,00:44:31,00:53:12,--,--
Pilates,1/18/2024 09:11,FALSE,Pilates,0,95,00:47:12,75,102,0.1,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,47:12.2,1,0,0,--,00:47:12,00:48:33,--,--
Pilates,4/10/2023 10:16,FALSE,Pilates,0,96,00:38:20,83,120,0.4,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,38:19.9,1,0,0,--,00:38:20,00:47:04,--,--
Walking,4/7/2022 10:22,FALSE,Caminar,1.64,96,00:57:58,71,98,0.2,19,120,35:14:00,09:07,22,24,1.43,0,0,0,0,0,0,0,0,0,0,0,--,00:00,0,00:00,No,00:13.0,2,0,1.64,24,00:12:28,00:57:58,19,58
Pilates,9/27/2023 18:51,FALSE,Pilates,0,103,00:50:52,77,98,0.1,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,50:51.6,1,0,0,--,00:50:52,00:50:52,--,--
Pilates,11/12/2023 12:39,FALSE,Pilates,0,105,00:32:08,92,117,0.3,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,32:07.8,1,0,0,--,00:32:08,00:32:08,--,--
Pilates,5/8/2023 10:05,FALSE,Pilates,0,107,00:51:56,78,109,0.1,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,51:56.4,1,0,0,--,00:51:56,00:51:56,--,--
Pilates,2/15/2024 09:45,FALSE,Pilates,0,110,00:45:54,80,114,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,45:54.1,1,0,0,--,00:45:54,00:45:54,--,--
Walking,4/9/2022 18:56,FALSE,Caminar,2.19,110,00:28:44,98,111,0.8,104,134,13:07,09:45,12,14,0.73,0,0,0,0,0,0,0,0,0,0,0,--,00:00,0,00:00,No,07:46.0,2,0,2.19,14,00:26:42,00:28:44,48,57
Pilates,1/2/2024 10:11,FALSE,Pilates,0,112,00:45:55,80,106,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,45:55.3,1,0,0,--,00:45:55,00:45:55,--,--
